0,rmse,SLATB001,SPAN,EFFTB003,TMNFTB003,CVO,FLTB003,TDWI,CVL,TEFFMX,EFFTB001,KDIFTB003
1851,0.031123016,0.001984192,39.86105453,0.619782333,1.145680549,0.783668464,0.54742642,42.97947568,0.738323688,40.91784938,0.530176651,0.510104708
1764,0.03113151,0.002079766,44.80454341,0.598366789,1.187641564,0.775862244,0.465575758,46.0440435,0.71569353,41.65718234,0.495009336,0.580568706
1638,0.031280399,0.002020159,42.99582721,0.620652842,1.14894517,0.843152298,0.473979859,49.08522322,0.724648437,44.99381962,0.474499501,0.513199198
2179,0.031345276,0.001981447,39.19339856,0.631865168,1.170372532,0.845548823,0.50573594,43.99103429,0.666112403,44.01093679,0.444835143,0.558721023
1477,0.031361456,0.00183867,41.3390977,0.626715168,1.199958868,0.779669816,0.510674832,63.50771917,0.641305056,44.12727255,0.496683272,0.556893741
1992,0.031778261,0.002015754,45.79662635,0.641578421,1.141369493,0.805423446,0.539824664,45.90483031,0.651861108,42.76474807,0.425027502,0.591008108
1940,0.031797099,0.001871252,43.29543222,0.651105304,1.199281892,0.796357881,0.486801843,48.81222137,0.692060932,43.35082608,0.394935907,0.512564314
1046,0.031888269,0.00186525,42.43534851,0.604298468,1.136009828,0.829307852,0.546030051,44.16460035,0.681936351,44.03864292,0.520448527,0.495235323
1406,0.031891124,0.001980596,40.41071281,0.630582266,1.199857309,0.828878711,0.539907599,36.69483705,0.561781197,43.35325237,0.405877689,0.547359814
812,0.032065922,0.001867336,40.22881357,0.674928108,1.081123954,0.829675801,0.512407612,42.50948792,0.812141159,42.41076828,0.567490096,0.412921746
1729,0.032378941,0.002201121,45.23021609,0.58117835,1.139326406,0.822211016,0.490327812,35.21560223,0.649528033,44.81699737,0.572507152,0.703985753
1708,0.032438488,0.00235493,48.0713548,0.598546273,1.097138859,0.834078729,0.502419433,42.74582874,0.576314978,44.99359023,0.552327165,0.705563613
2352,0.032791263,0.001842231,46.90675023,0.603122465,1.168122837,0.816274607,0.58651886,56.92910518,0.633099912,39.61954956,0.421120766,0.522401466
