0,rmse,NAVAILI,SLATB001,SLATB003,SPAN,EFFTB003,TMNFTB003,CVO,FLTB001,TDWI,CVS,EFFTB001,KDIFTB003,NCRIT_FR,AMAXTB001,NMAXLV_TB003,NMAXLV_TB007,NRESIDLV
35,0.848620606,21.8537225,0.002909767,0.001489686,50.42024443,0.585285939,1.150079381,0.88331921,0.668964328,43.0188572,0.410220436,0.281310545,0.484452491,1.497581098,72.73810063,0.083280305,0.067645064,0.004028276
36,0.535670384,21.16944709,0.002147122,0.001250796,48.69554535,0.482011998,1.078422104,0.593544463,0.619168782,34.37559579,0.504191598,0.537911343,0.310309126,0.731042707,59.56091418,0.036686535,0.011522652,0.005877563
37,0.836450872,25.1433019,0.003519428,0.001050738,39.5405329,0.425524682,0.78609639,0.575428662,0.522701332,69.02574779,0.771077992,0.393288256,0.432001998,0.861664477,72.86535158,0.062963841,0.051309606,0.006621925
38,0.764483076,23.77317113,0.003237944,0.001370538,36.44721766,0.602611726,0.992666979,0.732431594,0.734056326,50.84244672,0.588945947,0.656023428,0.644824458,0.937373666,64.34764292,0.024502178,0.025734715,0.007035919
39,0.626456212,21.93489594,0.002455985,0.000794326,45.14337259,0.54159601,0.924490578,0.786390354,0.507405812,75.6337839,0.443716473,0.33098177,0.715978575,0.548863046,58.47801528,0.046145406,0.038364529,0.004854295
40,1.061372557,25.77013844,0.001738691,0.001172424,29.93823229,0.573015273,0.863348914,0.841645924,0.56129358,59.6250394,0.370189052,0.267508122,0.362970231,0.678649089,50.77405092,0.078780042,0.04326053,0.005350272
41,1.087329792,24.31991963,0.002856715,0.000852433,17.25543837,0.634048765,0.943360633,0.893522641,0.539476159,46.69353231,0.518781046,0.438428531,0.6051813,0.974416961,78.27984839,0.034954005,0.054387069,0.003982459
42,1.101564682,22.69265104,0.002661708,0.001012307,42.58224061,0.612701722,0.555762076,0.776462002,0.700216631,43.71949834,0.369666784,0.476389769,0.50062663,1.433677635,61.80191595,0.054606301,0.017899372,0.002703083
43,0.763859976,24.74778648,0.002203145,0.000600553,39.71546469,0.484251481,1.164698749,0.815670737,0.675274255,40.49161978,0.469027601,0.300736312,0.566656881,0.7686185,70.8613552,0.089931342,0.050313572,0.003350502
44,0.760713323,26.47819042,0.002376421,0.000762117,48.14207237,0.440994942,1.194838548,0.863900863,0.772138911,66.4291507,0.632917583,0.391827388,0.442341023,1.202912406,55.68701827,0.04226798,0.036673949,0.004449003
45,0.738343113,24.07983023,0.003623582,0.001155244,50.30526384,0.535172777,1.088689174,0.657756605,0.474041263,77.41639048,0.770048726,0.250303829,0.407152962,0.572285199,74.83528007,0.073430378,0.031471082,0.00566393
46,0.677828695,23.2626511,0.0031969,0.001238901,42.79187937,0.652896952,1.015123417,0.747309391,0.580799936,35.97032834,0.583349218,0.336299544,0.452199097,0.650777641,39.42746992,0.047395068,0.059108892,0.005023981
47,0.897726161,21.63694027,0.002541225,0.001091263,36.85299018,0.417090238,0.830553559,0.719418742,0.661941427,27.94260881,0.42317091,0.516496734,0.346467975,0.852861205,66.60779621,0.015756674,0.020793331,0.007328256
48,0.621873207,24.8537076,0.002953617,0.001496031,45.26264863,0.571583855,0.6685272,0.797904708,0.610993312,54.50752182,0.543640515,0.470962485,0.691910797,0.912379809,70.30603381,0.066658606,0.014802282,0.006242859
49,1.037911046,28.01903325,0.001619125,0.000974156,20.63500773,0.499605311,1.133202927,0.83456789,0.635988109,67.03818433,0.854670409,0.368231117,0.614963675,1.055417153,52.45736842,0.079897452,0.06857077,0.002302099
50,0.645742718,25.40250003,0.003462743,0.001359418,38.91159644,0.376618189,1.042039404,0.558777709,0.509232437,62.37072204,0.333953585,0.421640236,0.645478194,0.701332679,80.16365942,0.060078948,0.04879703,0.006805913
51,0.879216903,21.01395528,0.002796029,0.001280782,40.99226253,0.335448897,0.748568263,0.882377613,0.724889756,48.61243423,0.968369893,0.541689807,0.397604816,1.302636473,46.39519792,0.054898602,0.039879785,0.005249832
52,0.606720124,26.14521905,0.003065277,0.001418776,29.47756342,0.530672426,0.894945403,0.75995461,0.480671561,44.44381933,0.456865342,0.499002919,0.862317591,0.766784626,62.34529412,0.040487615,0.02389847,0.005750615
53,0.606299396,23.02277908,0.002324324,0.0009124,33.43263981,0.661938377,0.955118556,0.857261625,0.626730119,57.85638145,0.391618625,0.401529899,0.506318673,0.62816672,64.01964533,0.024495665,0.044628798,0.003849554
54,0.712930961,20.5336064,0.001934098,0.001223102,47.75947536,0.627713122,1.174081199,0.51975533,0.649218387,46.25917455,0.357591749,0.29519388,0.713169762,0.57440457,56.75993218,0.062489265,0.077161797,0.004162463
55,0.696438436,27.26266742,0.003711638,0.001341915,49.44345255,0.270699406,0.805923351,0.690429576,0.580045945,64.60713948,0.520305736,0.587782099,0.471175332,0.997094038,42.32340403,0.032892423,0.05344906,0.004694509
56,0.772216267,23.55471444,0.003262917,0.000503399,45.84646437,0.457194021,1.130183295,0.662083131,0.608137894,31.27394839,0.571620514,0.626222084,0.807161328,1.159865926,38.51029958,0.071013207,0.027264594,0.005509414
57,0.733379643,21.3916275,0.001365815,0.001463512,37.83267383,0.368283439,0.98759085,0.623054422,0.748809127,71.33645952,0.927354593,0.430214387,0.549874492,0.501581397,75.21214066,0.076061071,0.030970595,0.006492964
58,0.797239821,22.11436414,0.002688114,0.000599249,43.30063538,0.490268795,0.932708348,0.821045812,0.588017656,50.46331746,0.491389048,0.320482392,0.58304355,0.90572874,59.79286438,0.057055381,0.059150133,0.003024854
59,0.823657237,27.79664808,0.003141,0.00115257,41.49719731,0.583718046,0.578165475,0.780023647,0.567274024,63.18406229,0.698497929,0.265263179,0.741904744,0.80927545,47.84141895,0.019370441,0.034513771,0.00343723
60,1.049982327,24.13486428,0.003393706,0.001285115,30.8556245,0.470686499,1.09452515,0.714098482,0.536672408,59.93938684,0.745623919,0.669381589,0.659792032,1.442016393,85.5779436,0.02746035,0.073797757,0.006099522
61,0.748930115,25.43434529,0.002488656,0.000742342,35.01356985,0.522298899,1.027520469,0.894474107,0.688239949,55.25451097,0.644388237,0.407858015,0.545035212,0.707748831,52.85565168,0.04359814,0.063027771,0.007207178
62,0.762032767,26.81827964,0.002009722,0.001000893,44.10709837,0.554414123,1.061866528,0.8538915,0.557250345,39.17661995,0.432540675,0.465994643,0.510160782,0.769657447,77.67286375,0.081524718,0.06650662,0.007930659
63,1.135523541,20.80221713,0.002216472,0.001440265,32.75786342,0.316127475,0.510102166,0.876465633,0.509153888,48.12841559,0.816651709,0.34184954,0.327493187,0.640703466,81.43409063,0.048930775,0.015177505,0.005067348
64,0.615183987,22.79148616,0.002816963,0.001068564,47.47768968,0.248768678,1.178707228,0.804040929,0.627386917,74.68624185,0.39286985,0.367338644,0.399804979,0.516498019,70.98235754,0.089574258,0.047456235,0.003646847
65,1.064913129,22.18102224,0.002991946,0.000842453,26.86759556,0.603954167,0.710712242,0.833169736,0.648507099,42.26224053,0.532417061,0.562709814,0.459404542,1.274994465,44.89516614,0.014198945,0.057126883,0.004589277
66,0.499275028,21.63401945,0.002604192,0.000951899,46.86720012,0.510965285,1.10474844,0.864568672,0.570305624,56.43688348,0.330530757,0.313588806,0.535241452,0.600175154,88.92639516,0.052030574,0.028473272,0.004826023
67,0.579810908,21.70789413,0.002635318,0.000932465,44.86909508,0.391097774,1.109635715,0.903437363,0.548321069,52.45081211,0.415286752,0.276904113,0.59381203,0.550220886,89.43021127,0.065408312,0.039293278,0.004822775
68,0.534684929,22.41669344,0.002373579,0.000889584,48.91312638,0.412649608,1.124799674,0.850254004,0.574278248,56.96686716,0.348961922,0.314108831,0.624211917,0.580806059,86.357587,0.051898323,0.021429202,0.004221798
69,0.503674418,23.54528874,0.002753408,0.000976018,46.83849893,0.441107321,1.056706344,0.866053602,0.531013051,58.27661299,0.451973156,0.351513196,0.525677738,0.613937879,35.24321164,0.039212394,0.025072784,0.005505883
70,0.615456428,21.14087323,0.002541555,0.001024785,42.28880113,0.467870124,0.972739544,0.888163,0.594448663,60.9060063,0.38330874,0.382142881,0.481831131,0.833852405,82.96323013,0.045355917,0.043270215,0.005199317
71,0.511281488,24.49457513,0.002899198,0.001128556,40.27474185,0.505921619,1.149479822,0.788617863,0.587450574,54.0631853,0.33389385,0.250772875,0.566076513,0.502051505,89.89693162,0.057499391,0.03691344,0.005834729
72,0.646481494,21.8591939,0.003104875,0.000656984,38.86428892,0.426649779,1.003661101,0.824878137,0.61697554,70.92079648,0.368021377,0.291948806,0.541132784,0.661412454,79.70538737,0.061004011,0.033783676,0.003851452
73,0.538243821,21.47728242,0.002111041,0.000968658,46.38407161,0.638543736,1.076649314,0.814048715,0.604329443,63.99137318,0.404109146,0.488991782,0.67271192,0.540872607,84.78935956,0.069388726,0.028110927,0.006482857
74,0.63510724,23.06627098,0.002628993,0.000807328,43.35513969,0.561899479,0.903526672,0.732318375,0.563256621,51.83699362,0.50002374,0.32468485,0.421574555,0.744120211,66.5587662,0.037746321,0.030341303,0.003166544
75,0.660848284,23.8079907,0.003313589,0.00070942,49.34192656,0.494841797,1.193734475,0.671637643,0.547925357,67.90240039,0.432860588,0.438165352,0.637777901,0.593114156,88.46281649,0.03297877,0.041551489,0.006954036
76,0.695634066,28.57550793,0.001778772,0.000859386,35.65046845,0.549229973,1.019425571,0.878513444,0.633141101,60.95496569,0.463643989,0.362431662,0.610846254,0.693927378,74.29252476,0.049170091,0.051943275,0.006083669
77,0.715586999,20.8298567,0.002292336,0.000767774,50.47252658,0.518619977,1.163951794,0.9054838,0.517033435,44.85185033,0.329861689,0.461880335,0.578064801,1.082244824,68.8694661,0.074686895,0.049245987,0.004503524
78,0.599903689,22.54190633,0.002495783,0.001073614,37.14828584,0.619393082,1.103909842,0.770511502,0.482666386,50.13608192,0.354450755,0.396064074,0.506770837,1.143201374,51.44061577,0.05255216,0.018934852,0.004909776
79,0.495929818,23.35573128,0.00202444,0.001109332,45.59894972,0.595847204,1.199369394,0.841901419,0.574365103,56.22628581,0.481018278,0.309604489,0.761131368,0.618230611,60.54391978,0.085975305,0.01322412,0.004697132
80,0.721850284,24.89663219,0.001473415,0.001200754,40.21429423,0.59311821,1.198652743,0.752567929,0.500731238,66.06808987,0.564908058,0.415987569,0.847506022,0.55842403,55.68543831,0.085634316,0.071006023,0.005316826
81,0.97212559,23.43292999,0.002034232,0.001250655,22.31663351,0.674407035,1.134584491,0.844618865,0.676648403,53.74132678,0.482016041,0.343890997,0.724458377,0.787563883,49.01712739,0.08230145,0.088212821,0.005576936
82,0.709366967,24.45541359,0.002205323,0.001118029,38.73594067,0.574751787,0.871792679,0.895296365,0.55072493,40.99909947,0.617534845,0.268922615,0.880753889,0.870572906,62.87890873,0.088703334,0.011138992,0.00663911
83,0.809676179,23.89338641,0.001838189,0.001325653,45.77601586,0.654084066,0.674424299,0.831549844,0.703173291,37.49285996,0.678247539,0.374757329,0.694063113,0.52978694,65.29494684,0.085114871,0.079492881,0.002792027
84,0.554563533,22.88003974,0.001586381,0.001382252,41.87841414,0.60833134,1.175575466,0.795879589,0.664525342,47.08662852,0.441966501,0.303251575,0.765170664,0.728297467,54.48228515,0.079299324,0.015344256,0.007570428
85,0.82122604,23.31029719,0.001713757,0.001171508,43.99562987,0.641772635,1.046367059,0.629632732,0.576855643,49.84795389,0.377153287,0.286171653,0.753152963,0.675339929,41.44519776,0.07177589,0.082304704,0.003487839
86,0.799393877,22.20298818,0.001928664,0.001228369,28.79138325,0.527972319,1.080209816,0.872179768,0.600021462,25.15955878,0.537993305,0.331517195,0.705560456,0.961871459,60.47102625,0.076799206,0.06141441,0.004316154
87,0.70010903,25.32015689,0.00243163,0.001041564,48.44572353,0.626251424,0.734086688,0.804365208,0.652684616,59.21067017,0.603504101,0.43169941,0.816576349,0.616235258,71.67424378,0.010940011,0.084089187,0.004666177
88,0.617144062,25.99857484,0.00268618,0.001089206,45.09476741,0.586037696,1.151447302,0.706683654,0.534143393,55.72505817,0.508768848,0.527461751,0.834003141,0.646449668,68.2588621,0.022631614,0.055051599,0.004132633
89,0.779425477,22.65022733,0.00351931,0.001425256,40.85807913,0.543417864,1.181148636,0.734247451,0.611172684,62.41091884,0.417750978,0.508290852,0.663155185,0.896720622,58.43461208,0.067465405,0.065743094,0.002044574
