,0
0,rmse
1,SLATB001
2,SPAN
3,EFFTB003
4,TMNFTB003
5,CVO
6,FLTB003
7,TDWI
8,CVL
9,TEFFMX
70,"[2.2553109576339945, 0.0029485415881126066, 22.19220747652703, 0.4942547544445059, 0.8412545776272643, 0.44678059848635154, 0.687774632049529, 29.432178036649812, 0.6845018949148133, 31.92497503440241]"
71,"[3.391158639773486, 0.003058754090220694, 13.167885588270977, 0.6327047083557442, 0.5728429732950967, 0.5766671186879718, 0.6608821045772164, 26.473187871210726, 0.4137163012446561, 29.364033622009718]"
72,"[3.0048785884720735, 0.0011936515608315912, 41.51437469226782, 0.583647114476423, 1.122204442100967, 0.6775665518179388, 0.5189144718551121, 34.67703938269821, 0.6598951508782548, 25.635525696456302]"
73,"[3.3372067597859827, 0.0023544873141612176, 27.259161043308467, 0.16208731229337825, 0.7989564609169664, 0.7092011597119946, 0.6377067031514204, 50.976965657324, 0.6021007313253439, 30.000053483877565]"
74,"[2.7925382259671863, 0.0035704203961724615, 14.581607449390265, 0.2206671748339465, 0.9873991866353846, 0.6603990114969045, 0.7382141220671221, 43.46873247106284, 0.7399291511781819, 38.058295178919444]"
75,"[0.6377663619559496, 0.00280072080388806, 48.61532329176879, 0.22636212554119403, 1.1993695819756476, 0.6451959192272559, 0.6083066966465979, 55.60679620016914, 0.7000344482897131, 33.0909850222449]"
76,"[2.7656692275869514, 0.0036890324376983156, 49.15819719690736, 0.25802692603635313, 1.3659288685314817, 0.5970311513209174, 0.6082217552323774, 65.00884081666507, 0.6934599496332604, 33.954759487218155]"
77,"[2.8739926002481884, 0.0014323415414148632, 49.94138243137206, 0.2953896608399048, 1.2924632114339325, 0.7753237707532699, 0.5711635022785114, 55.64250943879671, 0.5149732078344935, 31.866002078591755]"
78,"[1.1488534707965963, 0.0033582359488087445, 45.313281310718054, 0.13186083702976473, 1.1709250336613097, 0.5012048112959864, 0.599120057660479, 59.988791197861985, 0.7764673824154583, 26.9016729222663]"
79,"[1.9550644735534957, 0.002112238589459586, 40.236330296863954, 0.21536647151471272, 1.249290733048462, 0.5408480283824704, 0.6188638956393048, 46.68259346984936, 0.8551496570982848, 35.742286203387906]"
80,"[1.0063339657115642, 0.0026388182168472466, 46.801265791085065, 0.40577204442738735, 1.088192066251217, 0.6211610182918914, 0.6464180042348495, 52.06872797188289, 0.7253714635443157, 29.91134043348267]"
81,"[0.45030249283041707, 0.002840426738925443, 43.97521717260351, 0.3408618910321215, 1.0159680398227124, 0.7235140979722875, 0.7117029315762105, 60.8735026570121, 0.5656513292933265, 37.30796407588061]"
