0,rmse,SLATB001,SLATB003,SPAN,EFFTB003,TMNFTB003,CVO,FLTB001,TDWI,CVS,EFFTB001,KDIFTB003,NCRIT_FR,AMAXTB001,NMAXLV_TB003,NMAXLV_TB007,NRESIDLV
11,1.474251964,0.001469952,0.001222021,19.66137703,0.621777465,0.737718018,0.529119887,0.623235695,52.32106628,0.665463431,0.274743962,0.624181635,1.294774809,51.11091176,0.049231768,0.055311624,0.00797853
12,1.461524334,0.002811633,0.001453465,16.84213082,0.332646486,0.744856075,0.905892606,0.738404117,52.33252477,0.585845659,0.365490088,0.50269314,0.510254437,35.15215264,0.035122936,0.082286839,0.003849743
13,1.120826629,0.003718823,0.000947641,24.26884107,0.388004477,0.928289929,0.830557771,0.497499845,31.0091431,0.963427403,0.499481308,0.894952842,0.707966651,45.03227985,0.029585997,0.035276159,0.002810747
14,1.039180308,0.002071382,0.001479356,39.04746634,0.461997795,0.849805642,0.551970527,0.641254429,77.14050226,0.377854761,0.522452757,0.550036909,0.790582548,78.93954942,0.064861434,0.080433836,0.003713474
15,1.438066824,0.002118825,0.000552559,34.50874624,0.51531323,0.661171513,0.639672449,0.739796858,56.50230267,0.737918213,0.263229609,0.35801359,0.599722989,36.0547531,0.079332061,0.053234131,0.002966611
16,1.184238005,0.002963118,0.001270678,24.91957657,0.48848174,0.760603704,0.890676376,0.705074645,34.3110077,0.795828622,0.435441577,0.363325965,0.599284973,70.32004595,0.05609567,0.039387749,0.007939526
17,1.207900225,0.003518521,0.000848311,27.05416416,0.407923997,0.9998164,0.719716268,0.563643576,40.63698222,0.898440733,0.443013068,0.643891735,0.976479555,67.38372448,0.04900874,0.026802434,0.002782329
18,1.434054336,0.00135313,0.000622789,28.84102978,0.528192702,0.941466822,0.833191575,0.528453742,29.27090473,0.704522427,0.34909241,0.608999653,0.761950648,72.72234017,0.025675261,0.079114629,0.007457709
19,1.084199115,0.00187512,0.001214924,45.76202412,0.320787851,1.098198267,0.573858005,0.674841935,63.73664399,0.495309604,0.710866396,0.696074174,1.256388995,50.43581927,0.064995548,0.043194368,0.004752621
20,1.255984138,0.002941725,0.001124232,49.46320163,0.28100647,1.056728815,0.645231352,0.597590847,73.95810797,0.760475147,0.45008701,0.709558227,1.460182789,84.25092799,0.012778739,0.07333255,0.004997716
21,1.413876763,0.001760993,0.001039961,39.60284678,0.578742583,0.536504339,0.75884902,0.670237222,67.47625903,0.401406179,0.594265894,0.501089413,0.827869915,59.77736374,0.062857587,0.067086432,0.005582978
22,0.905692557,0.002266392,0.001495343,41.10109124,0.669541716,0.800513783,0.762855226,0.591337838,79.49481531,0.427581574,0.57290228,0.519395882,0.925822026,66.49543731,0.073726022,0.012339737,0.004279153
23,1.31795934,0.002446829,0.000808536,43.00088251,0.663506145,0.552170113,0.756300472,0.588227257,61.09216875,0.441315367,0.594241318,0.331346563,0.891065982,63.81707489,0.077885301,0.012404252,0.006503066
24,0.815165761,0.002237281,0.001108311,41.60329142,0.570574127,1.185433824,0.778269189,0.578666452,68.51639463,0.534078501,0.608956317,0.472566259,1.082126043,65.46141807,0.07422166,0.010587347,0.004321311
25,0.92888987,0.001635501,0.001092259,41.92622412,0.582852806,1.18927811,0.869459517,0.582338824,67.95256261,0.535035702,0.592573297,0.484437897,1.08486519,73.7477275,0.073727391,0.010296245,0.004160178
26,0.740492609,0.002258919,0.001368455,34.62084608,0.567977326,1.171549767,0.728634176,0.549392209,71.38903944,0.428262899,0.654319418,0.53745248,1.068325302,65.5036593,0.056598075,0.018093271,0.004508958
27,0.740474327,0.002706359,0.001368487,34.10621719,0.561943749,1.196978362,0.732156294,0.537407978,71.86076227,0.547604394,0.650083217,0.65827455,1.061788691,54.83080851,0.057446303,0.019921587,0.003063885
28,0.848844486,0.003183193,0.001383031,34.56019557,0.497802231,1.14190871,0.682895476,0.527971297,72.45617046,0.83269635,0.671454307,0.659350011,1.210526942,56.1391063,0.055796163,0.02327349,0.002455947
29,1.06818241,0.002679289,0.001271754,22.13984168,0.549661125,1.195981916,0.723164488,0.510422385,57.93494772,0.634071,0.644391062,0.82962989,1.053974415,59.6149405,0.055932091,0.021720397,0.003397914
30,0.803677322,0.003084816,0.001162097,32.56771386,0.469646749,1.042186286,0.672562873,0.549293832,58.08088394,0.527763941,0.748153076,0.588374499,1.019332963,55.79034614,0.045394622,0.018266582,0.003214609
