0,rmse,SLATB001,SPAN,EFFTB003,TMNFTB003,CVO,FLTB003,TDWI,CVL,TEFFMX,EFFTB001,KDIFTB003
17,0.925109555,0.002217617,18.34740749,0.503747985,1.191140913,0.584910077,0.562180439,44.03095898,0.41627916,44.50606079,0.321693688,0.891234933
18,0.589850472,0.001722696,46.79727159,0.516995919,0.96236193,0.698055092,0.502464808,60.57743831,0.88949815,38.25306683,0.467496053,0.582543336
19,0.875778027,0.003883064,25.26526609,0.643911342,1.198729564,0.877404384,0.518376538,78.00958328,0.860900947,35.69966289,0.571735639,0.399415069
20,0.892512951,0.003000836,22.66752328,0.493855986,1.11147811,0.599801215,0.619723461,42.37498319,0.761727705,36.81776927,0.636722997,0.50953555
21,0.565823674,0.002371457,34.77879573,0.42823055,1.118168405,0.806941737,0.468687242,36.16357872,0.595177463,43.52078946,0.393840612,0.682284555
22,0.482338688,0.002459348,41.83416398,0.349495178,1.117509146,0.812896143,0.465966266,26.1816538,0.716080099,43.37706816,0.548415545,0.577750516
23,0.872999486,0.002828178,31.40042021,0.236344036,0.930288361,0.495709398,0.479699073,74.07693584,0.826744341,41.04394578,0.538594221,0.463132125
24,0.389914463,0.003693546,50.33142451,0.388547799,1.053587471,0.831472007,0.532798618,49.21318851,0.643391493,35.51274381,0.422592219,0.688815333
25,0.394821799,0.003684379,50.2907831,0.383840335,1.029239139,0.840507463,0.538165163,50.08752167,0.640195893,35.00557384,0.408029274,0.725154902
26,0.965266036,0.001995071,42.80307264,0.225446796,0.914798741,0.83919801,0.545935234,55.62593691,0.8033816,35.97484116,0.251171585,0.640259087
27,0.413164557,0.003142585,50.39749003,0.292705833,1.084538543,0.798347979,0.667047835,67.99710835,0.69516741,35.02888819,0.428816018,0.767386368
28,0.805748055,0.001312996,45.39537323,0.460283739,1.158119508,0.897247558,0.501509434,35.93754839,0.636628593,36.56478293,0.266518782,0.696866109
29,0.369416649,0.003577314,50.111634,0.376956843,0.789160309,0.850175121,0.476191845,48.02672787,0.720659717,37.6397869,0.67418402,0.773266117
30,0.405526884,0.00352772,48.6324011,0.36394581,0.799915181,0.86191016,0.466347401,39.10109491,0.717358762,37.41238568,0.672524596,0.807275091
