,TSUMEM,TSUM1,TSUM2
250,1.033490501,1.055643956,1.181972617
251,1.031770594,1.055301545,1.18111824
252,1.031123222,1.05407221,1.181472056
253,1.029854263,1.054370052,1.180075157
254,1.029549427,1.053716873,1.179720755
255,1.028455411,1.054880801,1.179562444
256,1.028134688,1.054939524,1.1803989
257,1.026243319,1.055304405,1.182812264
258,1.025256821,1.054860015,1.183251131
259,1.023670195,1.055161001,1.18562366
260,1.023166818,1.055153736,1.183998537
261,1.022201409,1.056119516,1.185597755
262,1.022366587,1.057330561,1.186279753
263,1.021597398,1.058228156,1.188151512
264,1.021443498,1.057740321,1.187026236
265,1.020492151,1.057504169,1.188435661
266,1.020348032,1.057009475,1.186736555
267,1.019460688,1.056373187,1.188376578
268,1.01877545,1.055976322,1.186351065
269,1.018506176,1.055489275,1.183931298
270,1.017887705,1.053481832,1.182486096
271,1.018112979,1.052079548,1.182405232
272,1.017974864,1.050736862,1.182430515
273,1.017745112,1.049375447,1.18291987
274,1.017142986,1.048161724,1.182534969
275,1.017390909,1.047596327,1.18392865
276,1.017189302,1.047043272,1.184253081
277,1.017570881,1.046313507,1.183558849
278,1.01742323,1.045643541,1.182756781
279,1.017877821,1.045013331,1.182121602
280,1.018113193,1.045022229,1.177859285
281,1.018695249,1.044973688,1.175503444
282,1.018730422,1.044552431,1.174100183
283,1.019867483,1.044124229,1.172758715
284,1.019935063,1.04439485,1.172075942
285,1.021229564,1.044659951,1.171446098
286,1.021411996,1.044954213,1.171010646
287,1.0226633,1.045098699,1.170360656
288,1.022749439,1.045373051,1.169697496
289,1.02423615,1.045579917,1.168329716
290,1.024492303,1.045881628,1.166607609
291,1.02577679,1.045396053,1.165297642
292,1.026097923,1.045235749,1.163818392
293,1.027571898,1.044932054,1.162824482
294,1.027855694,1.044839456,1.161780936
295,1.029814919,1.044908043,1.161049928
296,1.030302956,1.045146185,1.159331376
297,1.031820147,1.045229719,1.154701257
298,1.031868747,1.045421749,1.14959917
299,1.033141607,1.045617216,1.144974168
300,1.033614399,1.046287186,1.140169799
301,1.033724933,1.047281486,1.136565243
302,1.034590648,1.048115534,1.132303566
303,1.034847278,1.049033664,1.127712469
304,1.035659836,1.049957646,1.122327922
305,1.035796651,1.050812404,1.117367206
306,1.036596649,1.051828914,1.112337372
307,1.036881142,1.052977195,1.108775824
308,1.03726258,1.054199296,1.105865612
309,1.037399839,1.055323051,1.104134559
310,1.037614949,1.056640712,1.103570162
311,1.037520067,1.057519487,1.104414771
312,1.037616121,1.05864599,1.103703547
313,1.037469793,1.059342397,1.103599231
314,1.037662276,1.060490939,1.102850923
315,1.037710044,1.061257064,1.102995304
316,1.037983411,1.061859605,1.101673876
317,1.03820249,1.062312788,1.100411891
318,1.038568402,1.062682712,1.098459407
319,1.038236141,1.062308616,1.096619453
320,1.038476271,1.062401125,1.094526253
321,1.037965381,1.061862129,1.092652971
322,1.03824602,1.06193538,1.090767421
323,1.037840379,1.061548527,1.088845769
324,1.038179382,1.061758946,1.088147614
325,1.037849274,1.061254471,1.088225547
326,1.038328059,1.061464702,1.08891008
327,1.038395932,1.060821248,1.089727217
328,1.038992438,1.061234088,1.090011522
329,1.039317363,1.060951889,1.091600294
330,1.040083905,1.061745595,1.091472022
331,1.040369719,1.061866368,1.093648243
332,1.040897596,1.062670029,1.094492952
333,1.041542783,1.063334094,1.09439955
334,1.04268649,1.064959716,1.094793013
335,1.042848922,1.065690489,1.094985323
336,1.043819002,1.067254273,1.095153238
337,1.043760787,1.067904124,1.094994807
338,1.044185619,1.06916659,1.094918837
339,1.042482195,1.067766881,1.094820985
340,1.041732631,1.066667989,1.095218644
341,1.040596371,1.065301422,1.094432881
342,1.040364482,1.065052635,1.095001474
343,1.040048236,1.064770492,1.093794891
344,1.039818459,1.064279775,1.090125464
345,1.039510478,1.063275218,1.085669607
346,1.039413853,1.061922019,1.082736276
347,1.038999038,1.060443237,1.07863088
348,1.038843537,1.059172977,1.076060026
349,1.038723103,1.058041221,1.072624675
350,1.03931528,1.057434469,1.070487081
351,1.039911576,1.057182845,1.068036404
352,1.040930809,1.057834507,1.065599224
353,1.041613909,1.058740298,1.062412583
354,1.042410943,1.059362755,1.0602978
355,1.043326979,1.059586305,1.057980569
356,1.044448014,1.059907292,1.056648281
357,1.0455362,1.060425109,1.054406963
358,1.046304896,1.060486935,1.052618913
359,1.047205682,1.060714005,1.049640061
